2023,"""Hybrid (some remote, some in-person)""","Developer, full-stack",40.67%,50%
2023,"""Hybrid (some remote, some in-person)""","Developer, back-end",41.02%,26.95%
2023,"""Hybrid (some remote, some in-person)""","Developer, front-end",37.2%,8.73%
2023,"""Hybrid (some remote, some in-person)""","Developer, desktop or enterprise applications",45.06%,8.5%
2023,"""Hybrid (some remote, some in-person)""",Other (please specify):,62.08%,5.82%
2023,In-person,"Developer, full-stack",14.68%,49.32%
2023,In-person,"Developer, back-end",11.45%,20.57%
2023,In-person,"Developer, desktop or enterprise applications",22.32%,11.5%
2023,In-person,Other (please specify):,37.92%,9.73%
2023,In-person,"Developer, front-end",13.84%,8.88%
2023,Remote,"Developer, full-stack",44.65%,50.12%
2023,Remote,"Developer, back-end",47.52%,28.51%
2023,Remote,"Developer, front-end",48.96%,10.49%
2023,Remote,"Developer, desktop or enterprise applications",32.62%,5.62%
2023,Remote,"Developer, mobile",100%,5.26%
2022,"""Hybrid (some remote, some in-person)""","Developer, full-stack",41.62%,32.3%
2022,"""Hybrid (some remote, some in-person)""","Developer, back-end",42.13%,30.33%
2022,"""Hybrid (some remote, some in-person)""","Developer, front-end",41.02%,17.41%
2022,"""Hybrid (some remote, some in-person)""","Developer, desktop or enterprise applications",45.01%,11.7%
2022,"""Hybrid (some remote, some in-person)""","Developer, mobile",40.14%,8.25%
2022,Full in-person,"Developer, full-stack",13.72%,31.23%
2022,Full in-person,"Developer, back-end",12.54%,26.47%
2022,Full in-person,"Developer, front-end",14.98%,18.66%
2022,Full in-person,"Developer, desktop or enterprise applications",17.9%,13.65%
2022,Full in-person,"Developer, mobile",16.59%,10%
2022,Fully remote,"Developer, full-stack",44.65%,33.16%
2022,Fully remote,"Developer, back-end",45.33%,31.23%
2022,Fully remote,"Developer, front-end",44%,17.87%
2022,Fully remote,"Developer, desktop or enterprise applications",37.08%,9.22%
2022,Fully remote,"Developer, mobile",43.26%,8.51%
2021,"""Independent contractor, freelancer, or self-employed""","Developer, full-stack",15.02%,32.27%
2021,"""Independent contractor, freelancer, or self-employed""","Developer, back-end",13.15%,24.98%
2021,"""Independent contractor, freelancer, or self-employed""","Developer, front-end",15.89%,18.92%
2021,"""Independent contractor, freelancer, or self-employed""","Developer, mobile",20.97%,12.97%
2021,"""Independent contractor, freelancer, or self-employed""","Developer, desktop or enterprise applications",15.43%,10.87%
2021,"""Not employed, but looking for work""",Student,60.98%,32.21%
2021,"""Not employed, but looking for work""","Developer, full-stack",2.51%,22.26%
2021,"""Not employed, but looking for work""","Developer, back-end",2.48%,19.45%
2021,"""Not employed, but looking for work""","Developer, front-end",3.37%,16.56%
2021,"""Not employed, but looking for work""","Developer, mobile",3.73%,9.52%
2021,Employed full-time,"Developer, full-stack",79.3%,32.77%
2021,Employed full-time,"Developer, back-end",81.15%,29.64%
2021,Employed full-time,"Developer, front-end",76.91%,17.62%
2021,Employed full-time,"Developer, desktop or enterprise applications",81.35%,11.02%
2021,Employed full-time,"Developer, mobile",75.3%,8.96%
2021,Employed part-time,"Developer, full-stack",3.18%,27.58%
2021,Employed part-time,"Developer, back-end",3.21%,24.65%
2021,Employed part-time,Student,39.02%,20.16%
2021,Employed part-time,"Developer, front-end",3.83%,18.45%
2021,Employed part-time,"Developer, desktop or enterprise applications",3.22%,9.16%
2020,"""Independent contractor, freelancer, or self-employed""","Developer, full-stack",11.85%,27.92%
2020,"""Independent contractor, freelancer, or self-employed""","Developer, back-end",11.19%,26.46%
2020,"""Independent contractor, freelancer, or self-employed""","Developer, front-end",12.58%,19.98%
2020,"""Independent contractor, freelancer, or self-employed""","Developer, desktop or enterprise applications",12.63%,12.92%
2020,"""Independent contractor, freelancer, or self-employed""","Developer, mobile",15.44%,12.71%
2020,"""Not employed, but looking for work""","Developer, back-end",3.65%,27.84%
2020,"""Not employed, but looking for work""","Developer, full-stack",3.33%,25.29%
2020,"""Not employed, but looking for work""","Developer, front-end",4.34%,22.22%
2020,"""Not employed, but looking for work""","Developer, mobile",4.98%,13.21%
2020,"""Not employed, but looking for work""","Developer, desktop or enterprise applications",3.47%,11.44%
2020,Employed full-time,"Developer, back-end",81.54%,29.47%
2020,Employed full-time,"Developer, full-stack",81.38%,29.29%
2020,Employed full-time,"Developer, front-end",79.05%,19.19%
2020,Employed full-time,"Developer, desktop or enterprise applications",80.19%,12.54%
2020,Employed full-time,"Developer, mobile",75.5%,9.5%
2020,Employed part-time,"Developer, back-end",3.61%,28.26%
2020,Employed part-time,"Developer, full-stack",3.44%,26.83%
2020,Employed part-time,"Developer, front-end",4.03%,21.22%
2020,Employed part-time,"Developer, desktop or enterprise applications",3.71%,12.56%
2020,Employed part-time,"Developer, mobile",4.08%,11.13%
2019,"""Other place, such as a coworking space or cafe""","Developer, full-stack",8.97%,31.07%
2019,"""Other place, such as a coworking space or cafe""","Developer, back-end",8.54%,27.89%
2019,"""Other place, such as a coworking space or cafe""","Developer, front-end",9.35%,19.62%
2019,"""Other place, such as a coworking space or cafe""","Developer, mobile",9.93%,11.18%
2019,"""Other place, such as a coworking space or cafe""","Developer, desktop or enterprise applications",7.44%,10.24%
2019,Home,"Developer, full-stack",35.36%,30.74%
2019,Home,"Developer, back-end",33.91%,27.82%
2019,Home,"Developer, front-end",35.85%,18.88%
2019,Home,"Developer, desktop or enterprise applications",35.44%,12.25%
2019,Home,"Developer, mobile",36.45%,10.3%
2019,Office,"Developer, full-stack",55.67%,30.37%
2019,Office,"Developer, back-end",57.55%,29.62%
2019,Office,"Developer, front-end",54.79%,18.11%
2019,Office,"Developer, desktop or enterprise applications",57.11%,12.39%
2019,Office,"Developer, mobile",53.62%,9.51%
